jerseyNumber,person.id,person.fullName,person.link,position.code,position.name,position.type,position.abbreviation
23,8471303,Alexander Edler,/api/v1/people/8471303,D,Defenseman,Defenseman,D
20,8474091,Brandon Sutter,/api/v1/people/8474091,C,Center,Forward,C
8,8475690,Christopher Tanev,/api/v1/people/8475690,D,Defenseman,Defenseman,D
47,8476466,Sven Baertschi,/api/v1/people/8476466,L,Left Wing,Forward,LW
35,8477967,Thatcher Demko,/api/v1/people/8477967,G,Goalie,Goalie,G
75,8480022,Michael DiPietro,/api/v1/people/8480022,G,Goalie,Goalie,G
21,8470626,Loui Eriksson,/api/v1/people/8470626,L,Left Wing,Forward,LW
55,8473415,Alex Biega,/api/v1/people/8473415,D,Defenseman,Defenseman,D
83,8474291,Jay Beagle,/api/v1/people/8474291,C,Center,Forward,C
25,8474593,Jacob Markstrom,/api/v1/people/8474593,G,Goalie,Goalie,G
26,8474849,Antoine Roussel,/api/v1/people/8474849,L,Left Wing,Forward,LW
44,8475790,Erik Gudbranson,/api/v1/people/8475790,D,Defenseman,Defenseman,D
17,8476410,Josh Leivo,/api/v1/people/8476410,L,Left Wing,Forward,LW
60,8476440,Markus Granlund,/api/v1/people/8476440,C,Center,Forward,C
5,8476884,Derrick Pouliot,/api/v1/people/8476884,D,Defenseman,Defenseman,D
31,8476992,Marek Mazanec,/api/v1/people/8476992,G,Goalie,Goalie,G
27,8477018,Ben Hutton,/api/v1/people/8477018,D,Defenseman,Defenseman,D
59,8477213,Tim Schaller,/api/v1/people/8477213,C,Center,Forward,C
64,8477353,Tyler Motte,/api/v1/people/8477353,C,Center,Forward,C
53,8477500,Bo Horvat,/api/v1/people/8477500,C,Center,Forward,C
18,8477937,Jake Virtanen,/api/v1/people/8477937,R,Right Wing,Forward,RW
77,8477958,Nikolay Goldobin,/api/v1/people/8477958,R,Right Wing,Forward,RW
6,8478444,Brock Boeser,/api/v1/people/8478444,R,Right Wing,Forward,RW
88,8478874,Adam Gaudette,/api/v1/people/8478874,C,Center,Forward,C
51,8479442,Troy Stecher,/api/v1/people/8479442,D,Defenseman,Defenseman,D
71,8479772,Zack MacEwen,/api/v1/people/8479772,C,Center,Forward,C
40,8480012,Elias Pettersson,/api/v1/people/8480012,C,Center,Forward,C
2,8471284,Andrej Sekera,/api/v1/people/8471284,D,Defenseman,Defenseman,D
28,8470803,Kyle Brodziak,/api/v1/people/8470803,C,Center,Forward,C
4,8471729,Kris Russell,/api/v1/people/8471729,D,Defenseman,Defenseman,D
27,8473473,Milan Lucic,/api/v1/people/8473473,L,Left Wing,Forward,LW
24,8474089,Brad Malone,/api/v1/people/8474089,C,Center,Forward,C
19,8475156,Mikko Koskinen,/api/v1/people/8475156,G,Goalie,Goalie,G
39,8475163,Alex Chiasson,/api/v1/people/8475163,R,Right Wing,Forward,RW
44,8475178,Zack Kassian,/api/v1/people/8475178,R,Right Wing,Forward,RW
26,8475430,Brandon Manning,/api/v1/people/8475430,D,Defenseman,Defenseman,D
33,8475660,Cam Talbot,/api/v1/people/8475660,G,Goalie,Goalie,G
15,8475755,Alexander Petrovic,/api/v1/people/8475755,D,Defenseman,Defenseman,D
5,8475857,Kevin Gravel,/api/v1/people/8475857,D,Defenseman,Defenseman,D
22,8476356,Tobias Rieder,/api/v1/people/8476356,R,Right Wing,Forward,RW
8,8476427,Ty Rattie,/api/v1/people/8476427,R,Right Wing,Forward,RW
93,8476454,Ryan Nugent-Hopkins,/api/v1/people/8476454,C,Center,Forward,C
6,8476457,Adam Larsson,/api/v1/people/8476457,D,Defenseman,Defenseman,D
77,8476472,Oscar Klefbom,/api/v1/people/8476472,D,Defenseman,Defenseman,D
16,8476915,Jujhar Khaira,/api/v1/people/8476915,L,Left Wing,Forward,LW
83,8476988,Matt Benning,/api/v1/people/8476988,D,Defenseman,Defenseman,D
25,8477498,Darnell Nurse,/api/v1/people/8477498,D,Defenseman,Defenseman,D
12,8477529,Colby Cave,/api/v1/people/8477529,C,Center,Forward,C
29,8477934,Leon Draisaitl,/api/v1/people/8477934,C,Center,Forward,C
97,8478402,Connor McDavid,/api/v1/people/8478402,C,Center,Forward,C
98,8479344,Jesse Puljujarvi,/api/v1/people/8479344,R,Right Wing,Forward,RW
12,8466139,Patrick Marleau,/api/v1/people/8466139,C,Center,Forward,C
2,8468493,Ron Hainsey,/api/v1/people/8468493,D,Defenseman,Defenseman,D
8,8474162,Jake Muzzin,/api/v1/people/8474162,D,Defenseman,Defenseman,D
51,8474581,Jake Gardiner,/api/v1/people/8474581,D,Defenseman,Defenseman,D
63,8474589,Tyler Ennis,/api/v1/people/8474589,L,Left Wing,Forward,LW
91,8475166,John Tavares,/api/v1/people/8475166,C,Center,Forward,C
43,8475172,Nazem Kadri,/api/v1/people/8475172,C,Center,Forward,C
3,8475718,Justin Holl,/api/v1/people/8475718,D,Defenseman,Defenseman,D
11,8475786,Zach Hyman,/api/v1/people/8475786,L,Left Wing,Forward,LW
31,8475883,Frederik Andersen,/api/v1/people/8475883,G,Goalie,Goalie,G
40,8476343,Garret Sparks,/api/v1/people/8476343,G,Goalie,Goalie,G
44,8476853,Morgan Rielly,/api/v1/people/8476853,D,Defenseman,Defenseman,D
28,8477015,Connor Brown,/api/v1/people/8477015,R,Right Wing,Forward,RW
18,8477341,Andreas Johnsson,/api/v1/people/8477341,L,Left Wing,Forward,LW
33,8477512,Frederik Gauthier,/api/v1/people/8477512,C,Center,Forward,C
29,8477939,William Nylander,/api/v1/people/8477939,R,Right Wing,Forward,RW
24,8477953,Kasperi Kapanen,/api/v1/people/8477953,R,Right Wing,Forward,RW
23,8478408,Travis Dermott,/api/v1/people/8478408,D,Defenseman,Defenseman,D
16,8478483,Mitchell Marner,/api/v1/people/8478483,R,Right Wing,Forward,RW
34,8479318,Auston Matthews,/api/v1/people/8479318,C,Center,Forward,C
22,8479458,Nikita Zaitsev,/api/v1/people/8479458,D,Defenseman,Defenseman,D
92,8480943,Igor Ozhiganov,/api/v1/people/8480943,D,Defenseman,Defenseman,D
26,8480944,Par Lindholm,/api/v1/people/8480944,C,Center,Forward,C
50,8470645,Corey Crawford,/api/v1/people/8470645,G,Goalie,Goalie,G
64,8480144,David Kampf,/api/v1/people/8480144,C,Center,Forward,C
2,8470281,Duncan Keith,/api/v1/people/8470281,D,Defenseman,Defenseman,D
30,8470320,Cam Ward,/api/v1/people/8470320,G,Goalie,Goalie,G
14,8470543,Chris Kunitz,/api/v1/people/8470543,L,Left Wing,Forward,LW
7,8470607,Brent Seabrook,/api/v1/people/8470607,D,Defenseman,Defenseman,D
15,8473573,Artem Anisimov,/api/v1/people/8473573,C,Center,Forward,C
19,8473604,Jonathan Toews,/api/v1/people/8473604,C,Center,Forward,C
88,8474141,Patrick Kane,/api/v1/people/8474141,R,Right Wing,Forward,RW
16,8475323,Marcus Kruger,/api/v1/people/8475323,C,Center,Forward,C
20,8476438,Brandon Saad,/api/v1/people/8476438,L,Left Wing,Forward,LW
5,8476473,Connor Murphy,/api/v1/people/8476473,D,Defenseman,Defenseman,D
68,8476886,Slater Koekkoek,/api/v1/people/8476886,D,Defenseman,Defenseman,D
56,8476979,Erik Gustafsson,/api/v1/people/8476979,D,Defenseman,Defenseman,D
40,8477401,John Hayden,/api/v1/people/8477401,R,Right Wing,Forward,RW
63,8477472,Carl Dahlstrom,/api/v1/people/8477472,D,Defenseman,Defenseman,D
11,8477943,Brendan Perlini,/api/v1/people/8477943,L,Left Wing,Forward,LW
42,8478055,Gustav Forsling,/api/v1/people/8478055,D,Defenseman,Defenseman,D
95,8478106,Dylan Sikura,/api/v1/people/8478106,R,Right Wing,Forward,RW
17,8478440,Dylan Strome,/api/v1/people/8478440,C,Center,Forward,C
12,8479337,Alex DeBrincat,/api/v1/people/8479337,L,Left Wing,Forward,LW
91,8479465,Drake Caggiula,/api/v1/people/8479465,C,Center,Forward,C
60,8480420,Collin Delia,/api/v1/people/8480420,G,Goalie,Goalie,G
24,8480946,Dominik Kahun,/api/v1/people/8480946,C,Center,Forward,C
59,8477479,Tyler Bertuzzi,/api/v1/people/8477479,L,Left Wing,Forward,LW
55,8468509,Niklas Kronwall,/api/v1/people/8468509,D,Defenseman,Defenseman,D
83,8470110,Trevor Daley,/api/v1/people/8470110,D,Defenseman,Defenseman,D
51,8470144,Frans Nielsen,/api/v1/people/8470144,C,Center,Forward,C
52,8470318,Jonathan Ericsson,/api/v1/people/8470318,D,Defenseman,Defenseman,D
26,8470598,Thomas Vanek,/api/v1/people/8470598,L,Left Wing,Forward,LW
35,8470657,Jimmy Howard,/api/v1/people/8470657,G,Goalie,Goalie,G
25,8471242,Mike Green,/api/v1/people/8471242,D,Defenseman,Defenseman,D
8,8471716,Justin Abdelkader,/api/v1/people/8471716,L,Left Wing,Forward,LW
43,8471794,Darren Helm,/api/v1/people/8471794,L,Left Wing,Forward,LW
45,8473541,Jonathan Bernier,/api/v1/people/8473541,G,Goalie,Goalie,G
14,8474679,Gustav Nyquist,/api/v1/people/8474679,R,Right Wing,Forward,RW
28,8474722,Luke Witkowski,/api/v1/people/8474722,R,Right Wing,Forward,RW
3,8475324,Nick Jensen,/api/v1/people/8475324,D,Defenseman,Defenseman,D
41,8476822,Luke Glendening,/api/v1/people/8476822,C,Center,Forward,C
42,8476924,Martin Frk,/api/v1/people/8476924,R,Right Wing,Forward,RW
72,8476960,Andreas Athanasiou,/api/v1/people/8476960,C,Center,Forward,C
65,8477215,Danny DeKeyser,/api/v1/people/8477215,D,Defenseman,Defenseman,D
61,8477455,Jacob de la Rose,/api/v1/people/8477455,C,Center,Forward,C
39,8477511,Anthony Mantha,/api/v1/people/8477511,R,Right Wing,Forward,RW
71,8477946,Dylan Larkin,/api/v1/people/8477946,C,Center,Forward,C
70,8478036,Christoffer Ehn,/api/v1/people/8478036,C,Center,Forward,C
21,8479395,Dennis Cholowski,/api/v1/people/8479395,D,Defenseman,Defenseman,D
27,8479992,Michael Rasmussen,/api/v1/people/8479992,C,Center,Forward,C
88,8477956,David Pastrnak,/api/v1/people/8477956,R,Right Wing,Forward,RW
33,8465009,Zdeno Chara,/api/v1/people/8465009,D,Defenseman,Defenseman,D
37,8470638,Patrice Bergeron,/api/v1/people/8470638,C,Center,Forward,C
42,8470655,David Backes,/api/v1/people/8470655,R,Right Wing,Forward,RW
41,8470860,Jaroslav Halak,/api/v1/people/8470860,G,Goalie,Goalie,G
46,8471276,David Krejci,/api/v1/people/8471276,C,Center,Forward,C
40,8471695,Tuukka Rask,/api/v1/people/8471695,G,Goalie,Goalie,G
63,8473419,Brad Marchand,/api/v1/people/8473419,L,Left Wing,Forward,LW
44,8474000,Steven Kampfer,/api/v1/people/8474000,D,Defenseman,Defenseman,D
27,8475186,John Moore,/api/v1/people/8475186,D,Defenseman,Defenseman,D
14,8475780,Chris Wagner,/api/v1/people/8475780,R,Right Wing,Forward,RW
20,8475807,Joakim Nordstrom,/api/v1/people/8475807,C,Center,Forward,C
86,8476191,Kevan Miller,/api/v1/people/8476191,D,Defenseman,Defenseman,D
52,8476374,Sean Kuraly,/api/v1/people/8476374,C,Center,Forward,C
47,8476792,Torey Krug,/api/v1/people/8476792,D,Defenseman,Defenseman,D
48,8476891,Matt Grzelcyk,/api/v1/people/8476891,D,Defenseman,Defenseman,D
22,8477417,Peter Cehlarik,/api/v1/people/8477417,L,Left Wing,Forward,LW
43,8478046,Danton Heinen,/api/v1/people/8478046,C,Center,Forward,C
25,8478443,Brandon Carlo,/api/v1/people/8478443,D,Defenseman,Defenseman,D
74,8478498,Jake DeBrusk,/api/v1/people/8478498,L,Left Wing,Forward,LW
55,8478569,Noel Acciari,/api/v1/people/8478569,C,Center,Forward,C
73,8479325,Charlie McAvoy,/api/v1/people/8479325,D,Defenseman,Defenseman,D
82,8479365,Trent Frederic,/api/v1/people/8479365,C,Center,Forward,C
83,8480901,Karson Kuhlman,/api/v1/people/8480901,C,Center,Forward,C
57,8474102,David Perron,/api/v1/people/8474102,L,Left Wing,Forward,LW
19,8470151,Jay Bouwmeester,/api/v1/people/8470151,D,Defenseman,Defenseman,D
20,8470257,Alexander Steen,/api/v1/people/8470257,L,Left Wing,Forward,LW
25,8471761,Chris Butler,/api/v1/people/8471761,D,Defenseman,Defenseman,D
7,8474034,Pat Maroon,/api/v1/people/8474034,L,Left Wing,Forward,LW
4,8474125,Carl Gunnarsson,/api/v1/people/8474125,D,Defenseman,Defenseman,D
41,8474145,Robert Bortuzzo,/api/v1/people/8474145,D,Defenseman,Defenseman,D
27,8474565,Alex Pietrangelo,/api/v1/people/8474565,D,Defenseman,Defenseman,D
34,8474596,Jake Allen,/api/v1/people/8474596,G,Goalie,Goalie,G
21,8475098,Tyler Bozak,/api/v1/people/8475098,C,Center,Forward,C
90,8475158,Ryan O'Reilly,/api/v1/people/8475158,C,Center,Forward,C
10,8475170,Brayden Schenn,/api/v1/people/8475170,C,Center,Forward,C
91,8475765,Vladimir Tarasenko,/api/v1/people/8475765,R,Right Wing,Forward,RW
17,8475768,Jaden Schwartz,/api/v1/people/8475768,L,Left Wing,Forward,LW
50,8476412,Jordan Binnington,/api/v1/people/8476412,G,Goalie,Goalie,G
6,8476441,Joel Edmundson,/api/v1/people/8476441,D,Defenseman,Defenseman,D
55,8476892,Colton Parayko,/api/v1/people/8476892,D,Defenseman,Defenseman,D
70,8476897,Oskar Sundqvist,/api/v1/people/8476897,C,Center,Forward,C
62,8476907,Mackenzie MacEachern,/api/v1/people/8476907,L,Left Wing,Forward,LW
12,8477482,Zach Sanford,/api/v1/people/8477482,L,Left Wing,Forward,LW
15,8477952,Robby Fabbri,/api/v1/people/8477952,C,Center,Forward,C
49,8477964,Ivan Barbashev,/api/v1/people/8477964,C,Center,Forward,C
29,8478407,Vince Dunn,/api/v1/people/8478407,D,Defenseman,Defenseman,D
18,8480023,Robert Thomas,/api/v1/people/8480023,C,Center,Forward,C
45,8475222,Sami Vatanen,/api/v1/people/8475222,D,Defenseman,Defenseman,D
9,8475791,Taylor Hall,/api/v1/people/8475791,L,Left Wing,Forward,LW
23,8476474,Stefan Noesen,/api/v1/people/8476474,R,Right Wing,Forward,RW
44,8477425,Miles Wood,/api/v1/people/8477425,L,Left Wing,Forward,LW
18,8471226,Drew Stafford,/api/v1/people/8471226,R,Right Wing,Forward,RW
19,8471233,Travis Zajac,/api/v1/people/8471233,C,Center,Forward,C
35,8471239,Cory Schneider,/api/v1/people/8471239,G,Goalie,Goalie,G
6,8472382,Andy Greene,/api/v1/people/8472382,D,Defenseman,Defenseman,D
2,8473468,Eric Gryba,/api/v1/people/8473468,D,Defenseman,Defenseman,D
12,8473933,Ben Lovejoy,/api/v1/people/8473933,D,Defenseman,Defenseman,D
90,8475149,Marcus Johansson,/api/v1/people/8475149,L,Left Wing,Forward,LW
21,8475151,Kyle Palmieri,/api/v1/people/8475151,R,Right Wing,Forward,RW
17,8475844,Kenny Agostino,/api/v1/people/8475844,L,Left Wing,Forward,LW
1,8476234,Keith Kinkaid,/api/v1/people/8476234,G,Goalie,Goalie,G
20,8476399,Blake Coleman,/api/v1/people/8476399,C,Center,Forward,C
