rowid,gamePk,link,gameType,season,gameDate,status.abstractGameState,status.codedGameState,status.detailedState,status.statusCode,status.startTimeTBD,teams.away.score,teams.away.leagueRecord.wins,teams.away.leagueRecord.losses,teams.away.leagueRecord.ot,teams.away.leagueRecord.type,teams.away.team.id,teams.away.team.name,teams.away.team.link,teams.home.score,teams.home.leagueRecord.wins,teams.home.leagueRecord.losses,teams.home.leagueRecord.ot,teams.home.leagueRecord.type,teams.home.team.id,teams.home.team.name,teams.home.team.link,venue.id,venue.name,venue.link,content.link
1,2018020009,/api/v1/game/2018020009/feed/live,R,20182019,2018-10-04T23:30:00Z,Final,7,Final,7,FALSE,4,1,0,0,league,16,Chicago Blackhawks,/api/v1/teams/16,3,0,0,1,league,9,Ottawa Senators,/api/v1/teams/9,5031,Canadian Tire Centre,/api/v1/venues/5031,/api/v1/game/2018020009/content
2,2018020024,/api/v1/game/2018020024/feed/live,R,20182019,2018-10-07T00:00:00Z,Final,7,Final,7,FALSE,5,2,0,0,league,16,Chicago Blackhawks,/api/v1/teams/16,4,0,1,1,league,19,St. Louis Blues,/api/v1/teams/19,5076,Enterprise Center,/api/v1/venues/5076,/api/v1/game/2018020024/content
3,2018020030,/api/v1/game/2018020030/feed/live,R,20182019,2018-10-07T23:00:00Z,Final,7,Final,7,FALSE,7,2,1,0,league,10,Toronto Maple Leafs,/api/v1/teams/10,6,2,0,1,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018020030/content
4,2018020056,/api/v1/game/2018020056/feed/live,R,20182019,2018-10-12T00:00:00Z,Final,7,Final,7,FALSE,3,2,0,2,league,16,Chicago Blackhawks,/api/v1/teams/16,4,1,1,1,league,30,Minnesota Wild,/api/v1/teams/30,5098,Xcel Energy Center,/api/v1/venues/5098,/api/v1/game/2018020056/content
5,2018020068,/api/v1/game/2018020068/feed/live,R,20182019,2018-10-14T00:30:00Z,Final,7,Final,7,FALSE,3,1,1,2,league,19,St. Louis Blues,/api/v1/teams/19,4,3,0,2,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018020068/content
6,2018020095,/api/v1/game/2018020095/feed/live,R,20182019,2018-10-19T00:30:00Z,Final,7,Final,7,FALSE,4,2,4,0,league,53,Arizona Coyotes,/api/v1/teams/53,1,3,1,2,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018020095/content
7,2018020109,/api/v1/game/2018020109/feed/live,R,20182019,2018-10-20T23:00:00Z,Final,7,Final,7,FALSE,4,4,1,2,league,16,Chicago Blackhawks,/api/v1/teams/16,1,4,3,0,league,29,Columbus Blue Jackets,/api/v1/teams/29,5059,Nationwide Arena,/api/v1/venues/5059,/api/v1/game/2018020109/content
8,2018020116,/api/v1/game/2018020116/feed/live,R,20182019,2018-10-21T23:00:00Z,Final,7,Final,7,FALSE,6,5,1,1,league,14,Tampa Bay Lightning,/api/v1/teams/14,3,4,2,2,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018020116/content
9,2018020127,/api/v1/game/2018020127/feed/live,R,20182019,2018-10-24T00:30:00Z,Final,7,Final,7,FALSE,1,5,4,1,league,24,Anaheim Ducks,/api/v1/teams/24,3,5,2,2,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018020127/content
10,2018020139,/api/v1/game/2018020139/feed/live,R,20182019,2018-10-26T00:30:00Z,Final,7,Final,7,FALSE,1,3,6,1,league,3,New York Rangers,/api/v1/teams/3,4,6,2,2,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018020139/content
11,2018020155,/api/v1/game/2018020155/feed/live,R,20182019,2018-10-28T00:00:00Z,Final,7,Final,7,FALSE,3,6,3,2,league,16,Chicago Blackhawks,/api/v1/teams/16,7,3,4,3,league,19,St. Louis Blues,/api/v1/teams/19,5076,Enterprise Center,/api/v1/venues/5076,/api/v1/game/2018020155/content
12,2018020162,/api/v1/game/2018020162/feed/live,R,20182019,2018-10-28T22:00:00Z,Final,7,Final,7,FALSE,2,6,3,1,league,22,Edmonton Oilers,/api/v1/teams/22,1,6,3,3,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018020162/content
13,2018020178,/api/v1/game/2018020178/feed/live,R,20182019,2018-11-01T02:00:00Z,Final,7,Final,7,FALSE,2,6,4,3,league,16,Chicago Blackhawks,/api/v1/teams/16,4,8,6,0,league,23,Vancouver Canucks,/api/v1/teams/23,5073,Rogers Arena,/api/v1/venues/5073,/api/v1/game/2018020178/content
14,2018020188,/api/v1/game/2018020188/feed/live,R,20182019,2018-11-02T01:00:00Z,Final,7,Final,7,FALSE,0,6,5,3,league,16,Chicago Blackhawks,/api/v1/teams/16,4,7,4,1,league,22,Edmonton Oilers,/api/v1/teams/22,5100,Rogers Place,/api/v1/venues/5100,/api/v1/game/2018020188/content
15,2018020203,/api/v1/game/2018020203/feed/live,R,20182019,2018-11-04T02:00:00Z,Final,7,Final,7,FALSE,3,6,6,3,league,16,Chicago Blackhawks,/api/v1/teams/16,5,9,5,1,league,20,Calgary Flames,/api/v1/teams/20,5075,Scotiabank Saddledome,/api/v1/venues/5075,/api/v1/game/2018020203/content
16,2018020233,/api/v1/game/2018020233/feed/live,R,20182019,2018-11-09T01:30:00Z,Final,7,Final,7,FALSE,4,7,7,2,league,12,Carolina Hurricanes,/api/v1/teams/12,3,6,7,3,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018020233/content
17,2018020243,/api/v1/game/2018020243/feed/live,R,20182019,2018-11-10T18:00:00Z,Final,7,Final,7,FALSE,0,6,8,3,league,16,Chicago Blackhawks,/api/v1/teams/16,4,9,7,1,league,4,Philadelphia Flyers,/api/v1/teams/4,5096,Wells Fargo Center,/api/v1/venues/5096,/api/v1/game/2018020243/content
18,2018020261,/api/v1/game/2018020261/feed/live,R,20182019,2018-11-13T00:00:00Z,Final,7,Final,7,FALSE,2,6,8,4,league,16,Chicago Blackhawks,/api/v1/teams/16,3,8,7,3,league,12,Carolina Hurricanes,/api/v1/teams/12,5066,PNC Arena,/api/v1/venues/5066,/api/v1/game/2018020261/content
19,2018020273,/api/v1/game/2018020273/feed/live,R,20182019,2018-11-15T01:00:00Z,Final,7,Final,7,FALSE,0,6,7,3,league,19,St. Louis Blues,/api/v1/teams/19,1,7,8,4,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018020273/content
20,2018020288,/api/v1/game/2018020288/feed/live,R,20182019,2018-11-17T01:30:00Z,Final,7,Final,7,FALSE,2,6,11,1,league,26,Los Angeles Kings,/api/v1/teams/26,1,7,8,5,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018020288/content
21,2018020305,/api/v1/game/2018020305/feed/live,R,20182019,2018-11-18T23:00:00Z,Final,7,Final,7,FALSE,1,12,7,2,league,30,Minnesota Wild,/api/v1/teams/30,3,8,8,5,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018020305/content
22,2018020322,/api/v1/game/2018020322/feed/live,R,20182019,2018-11-22T00:00:00Z,Final,7,Final,7,FALSE,2,8,9,5,league,16,Chicago Blackhawks,/api/v1/teams/16,4,11,7,3,league,15,Washington Capitals,/api/v1/teams/15,5094,Capital One Arena,/api/v1/venues/5094,/api/v1/game/2018020322/content
23,2018020341,/api/v1/game/2018020341/feed/live,R,20182019,2018-11-24T00:30:00Z,Final,7,Final,7,FALSE,2,8,10,5,league,16,Chicago Blackhawks,/api/v1/teams/16,4,16,6,1,league,14,Tampa Bay Lightning,/api/v1/teams/14,5017,Amalie Arena,/api/v1/venues/5017,/api/v1/game/2018020341/content
