rowid,gamePk,gameDate,teams.away.team.id,teams.home.team.id
1,2018020020,2018-10-06T17:00:00Z,22,1
2,2018020048,2018-10-11T23:00:00Z,15,1
3,2018020071,2018-10-14T17:00:00Z,28,1
4,2018020078,2018-10-16T23:00:00Z,25,1
5,2018020091,2018-10-18T23:00:00Z,21,1
6,2018020102,2018-10-20T17:00:00Z,1,4
7,2018020136,2018-10-25T23:00:00Z,18,1
8,2018020148,2018-10-27T16:00:00Z,13,1
9,2018020172,2018-10-30T23:30:00Z,1,14
10,2018020184,2018-11-01T23:30:00Z,1,17
11,2018020198,2018-11-03T23:00:00Z,1,2
12,2018020212,2018-11-06T00:00:00Z,1,5
13,2018020218,2018-11-07T00:30:00Z,1,9
14,2018020236,2018-11-10T00:00:00Z,1,10
15,2018020257,2018-11-12T00:00:00Z,1,52
16,2018020265,2018-11-14T00:00:00Z,5,1
17,2018020278,2018-11-16T00:00:00Z,1,4
18,2018020292,2018-11-17T18:00:00Z,17,1
19,2018020304,2018-11-18T22:00:00Z,1,12
20,2018020319,2018-11-22T00:00:00Z,8,1
21,2018020334,2018-11-23T21:00:00Z,2,1
22,2018020359,2018-11-26T00:00:00Z,1,14
23,2018020363,2018-11-27T00:00:00Z,1,13
24,2018020391,2018-12-01T00:00:00Z,1,15
25,2018020400,2018-12-02T00:00:00Z,52,1
26,2018020413,2018-12-04T00:00:00Z,14,1
27,2018020439,2018-12-07T03:30:00Z,1,26
28,2018020458,2018-12-10T01:00:00Z,1,24
29,2018020464,2018-12-11T03:30:00Z,1,28
30,2018020487,2018-12-15T00:00:00Z,54,1
31,2018020502,2018-12-16T01:00:00Z,1,18
32,2018020518,2018-12-19T00:00:00Z,10,1
33,2018020535,2018-12-21T00:00:00Z,1,29
34,2018020542,2018-12-22T00:00:00Z,9,1
35,2018020559,2018-12-23T17:30:00Z,29,1
36,2018020567,2018-12-28T00:00:00Z,1,6
37,2018020583,2018-12-29T18:00:00Z,12,1
38,2018020600,2018-12-31T18:00:00Z,23,1
39,2018020618,2019-01-03T01:30:00Z,1,25
40,2018020634,2019-01-05T02:00:00Z,1,53
41,2018020646,2019-01-06T21:00:00Z,1,54
42,2018020658,2019-01-09T00:00:00Z,1,7
43,2018020672,2019-01-11T00:00:00Z,10,1
44,2018020687,2019-01-12T18:00:00Z,4,1
45,2018020707,2019-01-15T00:00:00Z,16,1
46,2018020713,2019-01-16T00:00:00Z,1,29
47,2018020727,2019-01-18T00:00:00Z,1,2
48,2018020740,2019-01-19T18:00:00Z,24,1
49,2018020772,2019-01-29T00:00:00Z,1,5
50,2018020779,2019-02-01T00:00:00Z,3,1
51,2018020790,2019-02-02T19:00:00Z,1,8
52,2018020812,2019-02-06T00:00:00Z,26,1
53,2018020825,2019-02-08T00:00:00Z,2,1
54,2018020840,2019-02-09T18:00:00Z,30,1
55,2018020855,2019-02-10T20:00:00Z,12,1
56,2018020869,2019-02-13T01:00:00Z,1,19
57,2018020883,2019-02-15T01:30:00Z,1,16
58,2018020890,2019-02-16T01:30:00Z,1,30
59,2018020906,2019-02-17T23:00:00Z,7,1
