gamePk,link,gameType,season,gameDate,status.abstractGameState,status.codedGameState,status.detailedState,status.statusCode,status.startTimeTBD,teams.away.score,teams.away.leagueRecord.wins,teams.away.leagueRecord.losses,teams.away.leagueRecord.ot,teams.away.leagueRecord.type,teams.away.team.id,teams.away.team.name,teams.away.team.link,teams.home.score,teams.home.leagueRecord.wins,teams.home.leagueRecord.losses,teams.home.leagueRecord.ot,teams.home.leagueRecord.type,teams.home.team.id,teams.home.team.name,teams.home.team.link,venue.id,venue.name,venue.link,content.link
2018020001,/api/v1/game/2018020001/feed/live,R,20182019,2018-10-03T23:00:00Z,Final,7,Final,7,FALSE,2,0,0,1,league,8,Montréal Canadiens,/api/v1/teams/8,3,1,0,0,league,10,Toronto Maple Leafs,/api/v1/teams/10,NA,Scotiabank Arena,/api/v1/venues/null,/api/v1/game/2018020001/content
2018020002,/api/v1/game/2018020002/feed/live,R,20182019,2018-10-03T23:30:00Z,Final,7,Final,7,FALSE,0,0,1,0,league,6,Boston Bruins,/api/v1/teams/6,7,1,0,0,league,15,Washington Capitals,/api/v1/teams/15,5094,Capital One Arena,/api/v1/venues/5094,/api/v1/game/2018020002/content
2018020003,/api/v1/game/2018020003/feed/live,R,20182019,2018-10-04T02:00:00Z,Final,7,Final,7,FALSE,2,0,1,0,league,20,Calgary Flames,/api/v1/teams/20,5,1,0,0,league,23,Vancouver Canucks,/api/v1/teams/23,5073,Rogers Arena,/api/v1/venues/5073,/api/v1/game/2018020003/content
2018020004,/api/v1/game/2018020004/feed/live,R,20182019,2018-10-04T02:30:00Z,Final,7,Final,7,FALSE,5,1,0,0,league,24,Anaheim Ducks,/api/v1/teams/24,2,0,1,0,league,28,San Jose Sharks,/api/v1/teams/28,NA,SAP Center at San Jose,/api/v1/venues/null,/api/v1/game/2018020004/content
2018020005,/api/v1/game/2018020005/feed/live,R,20182019,2018-10-04T23:00:00Z,Final,7,Final,7,FALSE,4,1,1,0,league,6,Boston Bruins,/api/v1/teams/6,0,0,1,0,league,7,Buffalo Sabres,/api/v1/teams/7,5039,KeyBank Center,/api/v1/venues/5039,/api/v1/game/2018020005/content
2018020006,/api/v1/game/2018020006/feed/live,R,20182019,2018-10-04T23:30:00Z,Final,7,Final,7,FALSE,3,1,0,0,league,18,Nashville Predators,/api/v1/teams/18,2,0,1,0,league,3,New York Rangers,/api/v1/teams/3,5054,Madison Square Garden,/api/v1/venues/5054,/api/v1/game/2018020006/content
2018020007,/api/v1/game/2018020007/feed/live,R,20182019,2018-10-04T23:00:00Z,Final,7,Final,7,FALSE,6,1,0,1,league,15,Washington Capitals,/api/v1/teams/15,7,1,0,0,league,5,Pittsburgh Penguins,/api/v1/teams/5,5034,PPG Paints Arena,/api/v1/venues/5034,/api/v1/game/2018020007/content
2018020008,/api/v1/game/2018020008/feed/live,R,20182019,2018-10-04T23:00:00Z,Final,7,Final,7,FALSE,2,1,0,0,league,2,New York Islanders,/api/v1/teams/2,1,0,0,1,league,12,Carolina Hurricanes,/api/v1/teams/12,5066,PNC Arena,/api/v1/venues/5066,/api/v1/game/2018020008/content
2018020009,/api/v1/game/2018020009/feed/live,R,20182019,2018-10-04T23:30:00Z,Final,7,Final,7,FALSE,4,1,0,0,league,16,Chicago Blackhawks,/api/v1/teams/16,3,0,0,1,league,9,Ottawa Senators,/api/v1/teams/9,5031,Canadian Tire Centre,/api/v1/venues/5031,/api/v1/game/2018020009/content
2018020010,/api/v1/game/2018020010/feed/live,R,20182019,2018-10-04T23:30:00Z,Final,7,Final,7,FALSE,3,1,0,0,league,29,Columbus Blue Jackets,/api/v1/teams/29,2,0,0,1,league,17,Detroit Red Wings,/api/v1/teams/17,5145,Little Caesars Arena,/api/v1/venues/5145,/api/v1/game/2018020010/content
2018020011,/api/v1/game/2018020011/feed/live,R,20182019,2018-10-05T00:00:00Z,Final,7,Final,7,FALSE,5,1,0,0,league,52,Winnipeg Jets,/api/v1/teams/52,1,0,1,0,league,19,St. Louis Blues,/api/v1/teams/19,5076,Enterprise Center,/api/v1/venues/5076,/api/v1/game/2018020011/content
2018020012,/api/v1/game/2018020012/feed/live,R,20182019,2018-10-05T00:30:00Z,Final,7,Final,7,FALSE,0,0,1,0,league,53,Arizona Coyotes,/api/v1/teams/53,3,1,0,0,league,25,Dallas Stars,/api/v1/teams/25,5019,American Airlines Center,/api/v1/venues/5019,/api/v1/game/2018020012/content
2018020013,/api/v1/game/2018020013/feed/live,R,20182019,2018-10-05T01:00:00Z,Final,7,Final,7,FALSE,1,0,1,0,league,30,Minnesota Wild,/api/v1/teams/30,4,1,0,0,league,21,Colorado Avalanche,/api/v1/teams/21,5064,Pepsi Center,/api/v1/venues/5064,/api/v1/game/2018020013/content
2018020014,/api/v1/game/2018020014/feed/live,R,20182019,2018-10-05T02:00:00Z,Final,7,Final,7,FALSE,5,1,0,0,league,4,Philadelphia Flyers,/api/v1/teams/4,2,0,1,0,league,54,Vegas Golden Knights,/api/v1/teams/54,5178,T-Mobile Arena,/api/v1/venues/5178,/api/v1/game/2018020014/content
2018020015,/api/v1/game/2018020015/feed/live,R,20182019,2018-10-05T23:00:00Z,Final,7,Final,7,FALSE,3,1,0,1,league,12,Carolina Hurricanes,/api/v1/teams/12,1,1,1,0,league,29,Columbus Blue Jackets,/api/v1/teams/29,5059,Nationwide Arena,/api/v1/venues/5059,/api/v1/game/2018020015/content
2018020016,/api/v1/game/2018020016/feed/live,R,20182019,2018-10-06T02:30:00Z,Final,7,Final,7,FALSE,3,1,1,0,league,28,San Jose Sharks,/api/v1/teams/28,2,0,0,1,league,26,Los Angeles Kings,/api/v1/teams/26,NA,STAPLES Center,/api/v1/venues/null,/api/v1/game/2018020016/content
2018020017,/api/v1/game/2018020017/feed/live,R,20182019,2018-10-06T23:00:00Z,Final,7,Final,7,FALSE,1,0,2,0,league,3,New York Rangers,/api/v1/teams/3,3,1,1,0,league,7,Buffalo Sabres,/api/v1/teams/7,5039,KeyBank Center,/api/v1/venues/5039,/api/v1/game/2018020017/content
2018020018,/api/v1/game/2018020018/feed/live,R,20182019,2018-10-06T23:00:00Z,Final,7,Final,7,FALSE,5,1,0,1,league,9,Ottawa Senators,/api/v1/teams/9,3,1,1,0,league,10,Toronto Maple Leafs,/api/v1/teams/10,NA,Scotiabank Arena,/api/v1/venues/null,/api/v1/game/2018020018/content
2018020019,/api/v1/game/2018020019/feed/live,R,20182019,2018-10-06T23:00:00Z,Final,7,Final,7,FALSE,1,0,0,1,league,13,Florida Panthers,/api/v1/teams/13,2,1,0,0,league,14,Tampa Bay Lightning,/api/v1/teams/14,5017,Amalie Arena,/api/v1/venues/5017,/api/v1/game/2018020019/content
