id,name,link,abbreviation,teamName,locationName,firstYearOfPlay,shortName,officialSiteUrl,franchiseId,active,venue.name,venue.link,venue.city,venue.id,venue.timeZone.id,venue.timeZone.offset,venue.timeZone.tz,division.id,division.name,division.nameShort,division.link,division.abbreviation,conference.id,conference.name,conference.link,franchise.franchiseId,franchise.teamName,franchise.link
1,New Jersey Devils,/api/v1/teams/1,NJD,Devils,New Jersey,1982,New Jersey,http://www.newjerseydevils.com/,23,TRUE,Prudential Center,/api/v1/venues/null,Newark,NA,America/New_York,-5,EST,18,Metropolitan,Metro,/api/v1/divisions/18,M,6,Eastern,/api/v1/conferences/6,23,Devils,/api/v1/franchises/23
2,New York Islanders,/api/v1/teams/2,NYI,Islanders,New York,1972,NY Islanders,http://www.newyorkislanders.com/,22,TRUE,Barclays Center,/api/v1/venues/5026,Brooklyn,5026,America/New_York,-5,EST,18,Metropolitan,Metro,/api/v1/divisions/18,M,6,Eastern,/api/v1/conferences/6,22,Islanders,/api/v1/franchises/22
3,New York Rangers,/api/v1/teams/3,NYR,Rangers,New York,1926,NY Rangers,http://www.newyorkrangers.com/,10,TRUE,Madison Square Garden,/api/v1/venues/5054,New York,5054,America/New_York,-5,EST,18,Metropolitan,Metro,/api/v1/divisions/18,M,6,Eastern,/api/v1/conferences/6,10,Rangers,/api/v1/franchises/10
4,Philadelphia Flyers,/api/v1/teams/4,PHI,Flyers,Philadelphia,1967,Philadelphia,http://www.philadelphiaflyers.com/,16,TRUE,Wells Fargo Center,/api/v1/venues/5096,Philadelphia,5096,America/New_York,-5,EST,18,Metropolitan,Metro,/api/v1/divisions/18,M,6,Eastern,/api/v1/conferences/6,16,Flyers,/api/v1/franchises/16
5,Pittsburgh Penguins,/api/v1/teams/5,PIT,Penguins,Pittsburgh,NA,Pittsburgh,http://pittsburghpenguins.com/,17,TRUE,PPG Paints Arena,/api/v1/venues/5034,Pittsburgh,5034,America/New_York,-5,EST,18,Metropolitan,Metro,/api/v1/divisions/18,M,6,Eastern,/api/v1/conferences/6,17,Penguins,/api/v1/franchises/17
6,Boston Bruins,/api/v1/teams/6,BOS,Bruins,Boston,1924,Boston,http://www.bostonbruins.com/,6,TRUE,TD Garden,/api/v1/venues/5085,Boston,5085,America/New_York,-5,EST,17,Atlantic,ATL,/api/v1/divisions/17,A,6,Eastern,/api/v1/conferences/6,6,Bruins,/api/v1/franchises/6
7,Buffalo Sabres,/api/v1/teams/7,BUF,Sabres,Buffalo,1970,Buffalo,http://www.sabres.com/,19,TRUE,KeyBank Center,/api/v1/venues/5039,Buffalo,5039,America/New_York,-5,EST,17,Atlantic,ATL,/api/v1/divisions/17,A,6,Eastern,/api/v1/conferences/6,19,Sabres,/api/v1/franchises/19
8,Montréal Canadiens,/api/v1/teams/8,MTL,Canadiens,Montréal,1909,Montréal,http://www.canadiens.com/,1,TRUE,Bell Centre,/api/v1/venues/5028,Montréal,5028,America/Montreal,-5,EST,17,Atlantic,ATL,/api/v1/divisions/17,A,6,Eastern,/api/v1/conferences/6,1,Canadiens,/api/v1/franchises/1
9,Ottawa Senators,/api/v1/teams/9,OTT,Senators,Ottawa,1990,Ottawa,http://www.ottawasenators.com/,30,TRUE,Canadian Tire Centre,/api/v1/venues/5031,Ottawa,5031,America/New_York,-5,EST,17,Atlantic,ATL,/api/v1/divisions/17,A,6,Eastern,/api/v1/conferences/6,30,Senators,/api/v1/franchises/30
10,Toronto Maple Leafs,/api/v1/teams/10,TOR,Maple Leafs,Toronto,1917,Toronto,http://www.mapleleafs.com/,5,TRUE,Scotiabank Arena,/api/v1/venues/null,Toronto,NA,America/Toronto,-5,EST,17,Atlantic,ATL,/api/v1/divisions/17,A,6,Eastern,/api/v1/conferences/6,5,Maple Leafs,/api/v1/franchises/5
